station_name,line_name
77th St,R
Bay Ridge Ave,R
50th St,D
Ft Hamilton Pkwy,N
25th Ave,D
Bay Pky,D
20th Ave,N
18th Ave,N
Bay Ridge - 95th St,R
86th St,R
79th St,D
71st St,D
20th Ave,D
18th Ave,D
62nd St,D
New Utrecht Ave,N
Ave U,F
Kings Hwy,F
Brighton Beach,B
Brighton Beach,Q
Sheepshead Bay,B
Sheepshead Bay,Q
Ave U,Q
Kings Hwy,B
Kings Hwy,Q
Ave U,N
Kings Hwy,N
Neptune Ave,F
Ave X,F
Bay 50th St,D
Gravesend - 86th St,N
Ave P,F
Ave N,F
Bay Pky,F
Ave M,Q
Bay Pky,N
Ave I,F
Ave J,Q
Ave H,Q
Neck Rd,Q
21st St - Queensbridge,F
50th St,C
50th St,E
50th St,A
7th Ave,D
7th Ave,E
47th-50th Sts - Rockefeller Ctr,D
47th-50th Sts - Rockefeller Ctr,B
47th-50th Sts - Rockefeller Ctr,F
47th-50th Sts - Rockefeller Ctr,M
57th St,F
Lexington Ave - 63rd St,F
Lexington Ave - 63rd St,Q
Roosevelt Island - Main St,F
59th St - Columbus Circle,D
59th St - Columbus Circle,C
59th St - Columbus Circle,B
59th St - Columbus Circle,A
49th St,R
49th St,W
49th St,N
49th St,Q
57th St,R
57th St,W
57th St,N
57th St,Q
5th Ave - 59th St,W
5th Ave - 59th St,N
5th Ave - 59th St,R
Lexington Ave - 59th St,W
Lexington Ave - 59th St,N
Lexington Ave - 59th St,R
34th St - Penn Station,3
34th St - Penn Station,1
34th St - Penn Station,2
Times Sq - 42nd St,3
Times Sq - 42nd St,1
Times Sq - 42nd St,2
Fulton St,C
Fulton St,A
Chambers St,C
Chambers St,A
42nd St - Port Authority Bus Term,C
42nd St - Port Authority Bus Term,E
42nd St - Port Authority Bus Term,A
Myrtle-Willoughby Aves,G
Flushing Ave,G
23rd St,F
23rd St,M
Herald Sq - 34th St,D
Herald Sq - 34th St,B
Herald Sq - 34th St,F
Herald Sq - 34th St,M
Hoyt - Schermerhorn Sts,G
Hoyt - Schermerhorn Sts,C
Hoyt - Schermerhorn Sts,A
Jay St - MetroTech,C
Jay St - MetroTech,F
Jay St - MetroTech,A
East Broadway,F
Delancey St - Essex St,F
Lower East Side - 2nd Ave,F
Flushing Ave,J
Flushing Ave,M
Myrtle Ave,J
Myrtle Ave,Z
Myrtle Ave,M
4th Av - 9th St,G
4th Av - 9th St,F
Smith - 9th Sts,G
Smith - 9th Sts,F
Bergen St,G
Bergen St,F
Jay St - MetroTech,N
Jay St - MetroTech,R
Court St,N
Court St,R
Union Sq - 14th St,R
Union Sq - 14th St,W
Union Sq - 14th St,N
Union Sq - 14th St,Q
23rd St,R
23rd St,W
23rd St,N
23rd St,Q
Prospect Ave,D
Prospect Ave,N
Prospect Ave,R
4th Av - 9th St,D
4th Av - 9th St,N
4th Av - 9th St,R
3rd Ave,L
Union Sq - 14th St,L
Liberty Ave,C
Liberty Ave,A
Broadway Junction,C
Broadway Junction,A
59th St,N
59th St,R
45th St,N
45th St,R
36th St,D
36th St,N
9th Ave,D
53rd St,N
53rd St,R
Ft Hamilton Pkwy,D
25th St,D
25th St,N
25th St,R
Carroll St,G
Carroll St,F
Spring St,C
Spring St,E
Spring St,A
181st St,A
190th St,A
116th St,C
116th St,B
116th St,A
125th St,D
125th St,C
125th St,B
125th St,A
Prince St,R
Prince St,W
Prince St,N
Prince St,Q
8th St - NYU,R
8th St - NYU,W
8th St - NYU,N
8th St - NYU,Q
Fulton St,3
Fulton St,2
Park Pl,3
Park Pl,2
Chambers St,3
Chambers St,1
Chambers St,2
Hoyt St,3
Hoyt St,2
Borough Hall,3
Borough Hall,2
183rd St,4
Fordham Rd,4
World Trade Center,E
Canal St - Holland Tunnel,C
Canal St - Holland Tunnel,E
Canal St - Holland Tunnel,A
155th St,C
155th St,A
163rd St - Amsterdam Av,C
163rd St - Amsterdam Av,A
Fulton St,J
Fulton St,Z
Chambers St,J
Chambers St,Z
Canal St,J
Canal St,Z
City Hall,W
City Hall,R
Canal St,W
Canal St,R
South Ferry,1
Bowling Green,5
Bowling Green,4
Wall St,5
Wall St,4
Whitehall St,W
Whitehall St,R
Rector St,W
Rector St,R
Fresh Pond Rd,M
Middle Village - Metropolitan Ave,M
Rector St,1
Cortlandt St,1
Fulton St,5
Fulton St,4
Broad St,J
Broad St,Z
Cortlandt St,W
Cortlandt St,R
Wall St,3
Wall St,2
Dyckman St,A
Grand St,D
Grand St,B
Broadway - Lafayette St,D
Broadway - Lafayette St,B
Broadway - Lafayette St,F
Broadway - Lafayette St,M
Bowery,J
Bowery,Z
Canal St,N
Canal St,Q
23rd St,C
23rd St,E
23rd St,A
34th St - Penn Station,C
34th St - Penn Station,E
34th St - Penn Station,A
Jackson Hts - Roosevelt Av,R
Jackson Hts - Roosevelt Av,E
Jackson Hts - Roosevelt Av,F
Jackson Hts - Roosevelt Av,M
14th St,3
14th St,1
14th St,2
135th St,C
135th St,B
135th St,A
14th St,F
14th St,M
6th Ave,L
8th Ave,L
14th St,C
14th St,E
14th St,A
Nostrand Ave,3
Nostrand Ave,4
Clark St,3
Clark St,2
Franklin Ave,C
Franklin Ave,A
Clinton - Washington Aves,C
Clinton - Washington Aves,A
Forest Ave,M
110th St,6
110th St,4
86th St,5
86th St,6
86th St,4
York St,F
High St,C
High St,A
Lafayette Ave,C
Lafayette Ave,A
President St,5
President St,2
Woodlawn,4
Bleecker St,6
Bleecker St,4
103rd St,6
103rd St,4
Euclid Ave,C
Euclid Ave,S
Euclid Ave,A
88th St,S
88th St,A
Cortelyou Rd,Q
116th St,6
116th St,4
Parkchester,6
Franklin St,1
Franklin St,2
80th St,S
80th St,A
5th Ave - Bryant Pk,7
Spring St,6
Spring St,4
125th St,5
125th St,6
125th St,4
Coney Island - Stillwell Av,D
Coney Island - Stillwell Av,N
Coney Island - Stillwell Av,F
Coney Island - Stillwell Av,Q
34th St - Hudson Yards,7
72nd St,Q
86th St,Q
96th St,Q
